Exchange,Type,Feb Total Visits,Month Change,Country 1,Traffic Share 1,Country 2,Traffic Share 2,Country 3,Traffic Share 3,Country 4,Traffic Share 4,Country 5,Traffic Share 5
Binance,CEX,43.20M,-10.28%,Republic of Korea,7.74%,India,6.51%,Brazil,6.36%,Turkey,6.27%,Vietnam,4.97%
Coinbase,CEX,26.71M,-3.40%,United States,69.62%,United Kingdom,4.81%,Germany,2.27%,Canada,2.20%,France,2.08%
Upbit,CEX,8.564M,20.87%,Republic of Korea,98.33%,Indonesia,0.34%,Australia,0.18%,United States,0.17%,Japan,0.09%
OKX,CEX,23.09M,-3.12%,United States,10.26%,Brazil,9.00%,Japan,7.50%,Vietnam,6.08%,Turkey,4.20%
Bybit,CEX,12.64M,-18.13%,Russia,32.69%,Republic of Korea,9.14%,Ukraine,6.97%,Turkey,2.53%,Belarus,2.53%
Kraken,CEX,6.727M,-19.60%,United States,33.80%,United Kingdom,13.76%,Canada,6.24%,Germany,5.74%,France,5.17%
MEXC,CEX,33.35M,71.97%,Algeria,54.80%,Morocco,8.91%,Republic of Korea,4.07%,India,2.69%,Japan,2.28%
Bitget,CEX,16.08M,-4.23%,United States,9.69%,Republic of Korea,5.12%,India,5.10%,Philippines,4.62%,China,4.59%
Gate,CEX,14.63M,-17.47%,United States,9.72%,China,6.12%,Republic of Korea,4.96%,Russia,4.64%,Singapore,4.26%
HTX,CEX,2.110M,-36.47%,Russia,12.27%,Ukraine,10.33%,Brazil,7.22%,India,4.57%,Pakistan,3.58%
Crypto.com,CEX,3.790M,-30.36%,United States,45.21%,Canada,4.83%,United Kingdom,4.54%,India,3.63%,France,3.32%
Bitfinex,CEX,"632,747",3.73%,Republic of Korea,8.97%,Taiwan,8.71%,South Africa,7.23%,United States,4.47%,Brazil,4.27%
Bithumb,CEX,5.578M,-2.06%,Republic of Korea,98.34%,Vietnam,0.24%,United States,0.22%,Singapore,0.11%,Indonesia,0.11%
Gemini,CEX,2.627M,-9.47%,United States,51.13%,India,3.71%,United Kingdom,2.88%,Uruguay,2.30%,Singapore,2.22%
CoinDCX,CEX,1.690M,9.64%,India,79.70%,United States,4.65%,Indonesia,1.84%,Pakistan,1.15%,Canada,1.09%
Bitstamp,CEX,"675,285",0.43%,United States,24.45%,New Zealand,6.75%,South Africa,4.92%,United Kingdom,4.53%,Spain,3.39%
KuCoin,CEX,18.26M,-5.28%,United States,11.28%,India,6.93%,Singapore,5.56%,China,5.40%,Philippines,3.41%
BingX,CEX,9.713M,-41%,Brazil,13.98%,Ukraine,13.61%,Australia,13.12%,Turkey,10.88%,Argentina,9.89%
BitMart,CEX,12.29M,-7.65%,United States,14.45%,China,13.87%,Philippines,4.83%,Taiwan,4.20%,Singapore,4.03%
LBank,CEX,12.53M,-4.07%,China,13.19%,Philippines,7.20%,Azerbaijan,6.99%,Singapore,5.42%,United States,3.64%
Bullish,CEX,"85,564",-15.32%,United States,11.24%,Nigeria,6.21%,Republic of Korea,6.06%,India,5.11%,Australia,4.86%
Phemex,CEX,8.622M,-0.31%,Russia,18.62%,United Kingdom,8.47%,Turkey,6.69%,Germany,5.84%,Republic of Korea,5.83%
Bitvavo,CEX,3.343M,-18.08%,Netherlands,70.24%,Germany,9.37%,Belgium,5.71%,France,2.68%,Spain,2.45%
