Exchange,Type,Mar Total Visits,Month Change,Country 1,Traffic Share 1,Country 2,Traffic Share 2,Country 3,Traffic Share 3,Country 4,Traffic Share 4,Country 5,Traffic Share 5
Binance,CEX,42.22M,-2.28%,Republic of Korea,7.36%,India,6.85%,Turkey,6.57%,Brazil,6.00%,Ukraine,5.11%
Coinbase,CEX,24.42M,-8.57%,United States,69.31%,United Kingdom,5.03%,Canada,2.41%,Germany,2.26%,France,2.22%
Upbit,CEX,6.723M,-21.49%,Republic of Korea,97.69%,Indonesia,0.45%,Australia,0.39%,Thailand,0.16%,United States,0.14%
OKX,CEX,24.20M,4.82%,United States,9.41%,Japan,8.27%,Vietnam,7.22%,Brazil,6.86%,Turkey,5.59%
Bybit,CEX,12.76M,0.91%,Russia,32.09%,Republic of Korea,9.58%,Ukraine,6.76%,Turkey,3.39%,Japan,2.55%
Kraken,CEX,6.885M,2.34%,United States,37.36%,United Kingdom,12.26%,Canada,5.73%,France,5.18%,Germany,4.17%
MEXC,CEX,37.21M,11.56%,Algeria,62.56%,Morocco,5.33%,Vietnam,4.06%,India,2.34%,Republic of Korea,2.22%
Bitget,CEX,18.84M,17.15%,India,10.54%,United States,6.54%,Indonesia,5.41%,Germany,5.34%,Russia,5.06%
Gate,CEX,13.80M,-5.69%,United States,10.27%,Republic of Korea,5.48%,Philippines,4.31%,Turkey,3.35%,Russia,3.32%
HTX,CEX,2.187M,3.65%,Russia,28.98%,Ukraine,7.49%,Brazil,6.29%,India,4.00%,Hong Kong,2.52%
Crypto.com,CEX,3.425M,-9.62%,United States,46.86%,United Kingdom,5.26%,Canada,4.47%,Germany,2.77%,France,2.30%
Bitfinex,CEX,"614,548",-2.88%,Republic of Korea,10.67%,Taiwan,9.44%,Russia,7.01%,Thailand,5.07%,South Africa,4.16%
Bithumb,CEX,4.998M,-10.39%,Republic of Korea,98.22%,Indonesia,0.27%,United States,0.16%,Vietnam,0.15%,Canada,0.09%
Gemini,CEX,2.640M,0.48%,United States,48.21%,India,4.13%,United Kingdom,2.39%,Uruguay,2.23%,Republic of Korea,1.89%
Coindcx,CEX,1.533M,-9.27%,India,76.24%,United States,6.79%,Saudi Arabia,1.56%,Indonesia,1.46%,Canada,1.09%
Bitstamp,CEX,"687,166",1.76%,United States,22.18%,New Zealand,21.35%,Spain,2.95%,United Kingdom,2.83%,Croatia,2.30%
Kucoin,CEX,15.69M,-14.06%,Turkey,4.79%,United States,4.62%,Philippines,4.54%,Azerbaijan,3.87%,Singapore,3.62%
BingX,CEX,8.304M,-14.51%,Ukraine,16.76%,Argentina,11.63%,Turkey,11.34%,Kazakhstan,10.78%,Australia,9.69%
BitMart,CEX,12.52M,1.86%,United States,18.24%,Philippines,5.17%,Republic of Korea,5.00%,Turkey,4.77%,Taiwan,4.39%
LBank,CEX,12.36M,-1.35%,Philippines,10.71%,Azerbaijan,8.37%,United States,4.17%,Republic of Korea,3.51%,Singapore,3.23%
Bullish,CEX,"87,148",1.85%,United States,9.78%,Nigeria,7.65%,India,6.24%,Vietnam,5.69%,United Kingdom,4.53%
Phemex,CEX,14.24M,65.15%,Russia,16.41%,Republic of Korea,12.29%,Germany,7.88%,Turkey,6.14%,United Kingdom,5.29%
Bitvavo,CEX,2.472M,-26.06%,Netherlands,70.79%,Germany,9.21%,Belgium,5.50%,France,2.54%,Spain,2.13%
