Exchange,Type,May Total Visits,Month Change,Country 1,Traffic Share 1,Country 2,Traffic Share 2,Country 3,Traffic Share 3,Country 4,Traffic Share 4,Country 5,Traffic Share 5
Binance,CEX,38.16M,-0.17%,India,8.20%,Republic of Korea,8.17%,Brazil,6.13%,Ukraine,5.40%,Turkey,4.93%
Coinbase,CEX,21.31M,-4.86%,United States,67.99%,United Kingdom,5.25%,Germany,2.75%,France,2.34%,Canada,2.13%
Upbit,CEX,5.651M,-1.58%,Republic of Korea,97.58%,Indonesia,0.49%,United States,0.29%,Vietnam,0.20%,Turkey,0.18%
OKX,CEX,22.26M,-2.91%,Japan,8.42%,United States,7.29%,Philippines,7.19%,Turkey,4.76%,Brazil,4.51%
Bybit,CEX,11.87M,4.02%,Russia,30.38%,Republic of Korea,8.49%,Ukraine,6.63%,Belarus,3.39%,Turkey,2.37%
Kraken,CEX,6.810M,4.86%,United States,35.07%,United Kingdom,11.36%,Canada,6.95%,France,5.77%,Germany,5.31%
MEXC,CEX,18.16M,24.23%,Vietnam,7.50%,United States,6.88%,India,6.49%,Singapore,5.66%,Philippines,4.75%
Bitget,CEX,9.342M,-5.40%,Argentina,11.78%,Republic of Korea,7.28%,Japan,6.10%,India,4.84%,Turkey,4.52%
Gate,CEX,12.65M,-7.53%,United States,9.68%,Turkey,6.15%,Republic of Korea,5.54%,Philippines,5.20%,Singapore,4.21%
HTX,CEX,4.332M,155.70%,Russia,24.12%,India,6.03%,Brazil,5.44%,Ukraine,5.09%,France,2.46%
Crypto.com,CEX,3.112M,-0.69%,United States,44.02%,Canada,6.42%,United Kingdom,4.77%,Germany,4.03%,Singapore,2.60%
Bitfinex,CEX,"485,438",-2.66%,Republic of Korea,12.78%,Taiwan,11.25%,Netherlands,5.37%,Germany,4.66%,United Kingdom,4.07%
Bithumb,CEX,4.498M,5.77%,Republic of Korea,97.76%,United States,0.73%,Indonesia,0.24%,Vietnam,0.15%,Malaysia,0.13%
Gemini,CEX,2.498M,-1.45%,United States,48.06%,India,4.11%,Indonesia,2.22%,United Kingdom,1.94%,Republic of Korea,1.89%
CoinDCX,CEX,1.557M,5.47%,India,79.59%,United States,5.27%,Vietnam,2.04%,Norway,1.56%,South Africa,0.89%
Bitstamp,CEX,"493,583",-4.55%,United States,27.65%,New Zealand,8.90%,Germany,4.27%,Spain,4.12%,United Kingdom,4.11%
KuCoin,CEX,14.92M,-7.37%,Philippines,7.57%,Turkey,7.34%,United States,4.92%,India,4.89%,Singapore,4.82%
BingX,CEX,26.35M,56.40%,Kazakhstan,24.02%,Turkey,23.78%,Australia,15.37%,Argentina,14.55%,Thailand,2.88%
BitMart,CEX,10.91M,-4.53%,United States,12.28%,Philippines,8.43%,Taiwan,5.71%,Turkey,5.26%,Singapore,4.29%
LBank,CEX,13.63M,7.68%,Philippines,9.57%,Turkey,6.73%,Azerbaijan,4.47%,Argentina,4.06%,Singapore,3.80%
Bullish,CEX,"92,216",17.33%,United States,17.98%,Nigeria,6.93%,United Kingdom,6.61%,Italy,5.33%,Canada,5.19%
Phemex,CEX,2.039M,-75.40%,Germany,10.54%,Spain,10.00%,Saudi Arabia,9.30%,Vietnam,8.09%,United States,6.60%
Bitvavo,CEX,2.568M,20.77%,Netherlands,72.16%,Germany,8.64%,France,4.20%,Belgium,3.47%,South Africa,2.96%
WazirX,CEX,"400,804",0.2223,India,78.58%,United States,4.53%,Mexico,1.78%,Sri Lanka,1.36%,Nigeria,1.17%
CoinSwitch,CEX,"929,823",0.224,India,66.67%,United States,15.17%,Canada,1.31%,Pakistan,1.12%,Nigeria,0.89%
