Exchange,Type,Jan Total Visits,Month Change,Country 1,Traffic Share 1,Country 2,Traffic Share 2,Country 3,Traffic Share 3,Country 4,Traffic Share 4,Country 5,Traffic Share 5
PumpFun,Decentralised,3.289M,13.50%,United States,28.45%,Indonesia,4.56%,India,4.17%,Germany,3.95%,United Kingdom,3.53%
Jupiter.Ag,Decentralised,5.724M,-6.96%,United States,22.37%,India,14.44%,Indonesia,4.75%,Japan,3.71%,Canada,2.62%
Meteora,Decentralised,"198,204",15.02%,United States,21.57%,United Kingdom,14.77%,Taiwan,13.07%,Russia,8.86%,Georgia,4.75%
App uniswap,Decentralised,1.826M,-4.38%,United States,19.67%,Portugal,12.46%,Ukraine,7.49%,United Kingdom,5.47%,Russia,4.43%
Orca,Decentralised,"276,651",-18.79%,Brazil,30.27%,United States,12.30%,Singapore,5.08%,Switzerland,5.00%,Spain,3.52%
Asterdex,Decentralised,1.047M,-21.28%,United States,17.92%,Russia,6.41%,Japan,5.22%,France,4.26%,Canada,3.89%
Quickswap,Decentralised,"45,736",-17.27%,United States,25.50%,India,9.39%,Vietnam,8.91%,France,6.44%,Japan,5.66%
Sunswap,Decentralised,"60,294",90.34%,United States,33.41%,India,20.27%,Republic of Korea,4.32%,United Kingdom,4.11%,Norway,4.02%
HyperLiquid,Decentralised,3.289M,11.60%,Australia,12.28%,United States,12.18%,Singapore,6.29%,Norway,5.47%,France,4.23%
Curve Finance,Decentralised,"230,366",-12.30%,Hong Kong,27.56%,United States,10.32%,Vietnam,5.45%,India,4.54%,Nigeria,4.13%
Pancakeswap,Decentralised,"730,902",-8.68%,United States,17.12%,Russia,12.17%,United Kingdom,9.17%,Ukraine,5.28%,Vietnam,3.46%
Binance,Centralised,48.15M,6.71%,India,7.46%,Republic of Korea,7.29%,Brazil,5.57%,Turkey,5.43%,Venezuela,5.05%
Coinbase,Centralised,27.65M,-2.29%,United States,67.75%,United Kingdom,5.33%,Germany,2.69%,Canada,2.38%,France,2.18%
Upbit,Centralised,7.085M,8.51%,Republic of Korea,97.84%,Australia,0.34%,Indonesia,0.28%,United States,0.20%,Japan,0.17%
Okx,Centralised,23.83M,1.35%,United States,13.77%,Brazil,10.78%,Japan,10.01%,Mexico,5.65%,Turkey,4.92%
Bybit,Centralised,15.44M,-6.69%,Russia,32.96%,Republic of Korea,9.63%,Ukraine,6.63%,Japan,4.69%,Turkey,3.05%
Kraken,Centralised,8.367M,-6.98%,United States,34.81%,United Kingdom,13.93%,Canada,5.61%,Germany,5.46%,France,5.33%
MEXC,Centralised,19.39M,-7.91%,Japan,9.03%,India,8.55%,Republic of Korea,8.17%,Brazil,6.22%,Morocco,5.57%
Bitget,Centralised,16.79M,-8.59%,United States,9.80%,India,5.54%,Republic of Korea,4.90%,Hong Kong,4.55%,Japan,4.55%
Gate,Centralised,17.73M,-5.10%,United States,11.93%,Hong Kong,5.46%,Russia,5.17%,Republic of Korea,4.71%,Singapore,3.87%
HTX,Centralised,3.322M,-38.65%,Russia,13.95%,Ukraine,10.11%,Brazil,6.68%,India,4.78%,Thailand,2.76%
Crypto.com,Centralised,5.442M,-3.91%,United States,42.51%,Brazil,8.57%,France,6.50%,Germany,5.48%,Canada,4.36%
Bitfinex,Centralised,"609,966",7.05%,Taiwan,5.24%,Republic of Korea,4.81%,Spain,4.81%,United States,4.79%,Brazil,4.68%
Bithumb,Centralised,5.695M,6.26%,Republic of Korea,98.41%,Vietnam,0.23%,China,0.17%,United States,0.16%,Canada,0.16%
Gemini,Centralised,2.902M,1.15%,United States,54.14%,India,3.10%,United Kingdom,2.56%,Singapore,1.59%,Republic of Korea,1.55%
Coindcx,Centralised,1.541M,10.77%,India,78.52%,United States,4.89%,Nigeria,0.95%,United Kingdom,0.93%,Mexico,0.86%
Bitstamp,Centralised,"672,378",1.19%,United States,27.37%,France,5.24%,United Kingdom,4.53%,Belgium,3.51%,Germany,3.10%
